NÚMERO EXPERIMENTO,DESCRIPCIÓN EXPERIMENTO,MODELO,ESCALADOR,REBALANCEO,PCA,μ ACCURACY,σ ACCURACY,μ PRECISION WEIGHTED,σ PRECISION WEIGHTED,μ RECALL WEIGHTED,σ RECALL WEIGHTED,μ F1 WEIGHTED,σ F1 WEIGHTED,μ PRECISION MACRO,σ PRECISION MACRO,μ RECALL MACRO,σ RECALL MACRO,μ F1 MACRO,σ F1 MACRO,μ FPR WEIGHTED,σ FPR WEIGHTED,μ FNR WEIGHTED,σ FNR WEIGHTED,μ FPR MACRO,σ FPR MACRO,μ FNR MACRO,σ FNR MACRO,μ MCC,σ MCC,μ AUC-ROC,σ AUC-ROC,μ DETECTION LATENCY (S),σ DETECTION LATENCY (S),μ FIT TIME,σ² FIT TIME,μ SCORE TIME,σ² SCORE TIME
11,StandardScaler + NearMiss/SMOTE + Sin PCA + KNN,knn,StandardScaler,NearMiss_SMOTE,Sin PCA,0.409732,0.006833,0.849543,0.013910,0.409732,0.006833,0.482691,0.008827,0.521179,0.007212,0.707237,0.011333,0.420011,0.000699,0.015042,0.001203,0.590268,0.006833,0.040354,0.000503,0.292763,0.011333,0.397960,0.006388,0.702950,0.003265,0.000058,0.000008,0.025878,0.000051,15.486600,4.859279
12,StandardScaler + NearMiss/SMOTE + Sin PCA + MLP,mlp,StandardScaler,NearMiss_SMOTE,Sin PCA,0.508307,0.016770,0.881390,0.008382,0.508307,0.016770,0.570065,0.018947,0.505383,0.011161,0.765309,0.009030,0.440872,0.005006,0.012846,0.001273,0.491693,0.016770,0.033636,0.001124,0.234691,0.009030,0.494301,0.017289,0.777454,0.015327,0.000000,0.000000,44.032255,570.514434,0.115514,0.000023
13,StandardScaler + NearMiss/SMOTE/ENN + Sin PCA + Logistic Regression,logreg,StandardScaler,NearMiss_SMOTE_ENN,Sin PCA,0.475168,0.002347,0.822882,0.009247,0.475168,0.002347,0.520298,0.007024,0.439140,0.004908,0.751893,0.013458,0.379873,0.004685,0.016819,0.000765,0.524832,0.002347,0.036110,0.000151,0.248107,0.013458,0.458784,0.001769,0.788244,0.002976,0.000000,0.000000,13.639689,7.402526,0.032304,0.000003
14,StandardScaler + NearMiss/SMOTE/ENN + Sin PCA + KNN,knn,StandardScaler,NearMiss_SMOTE_ENN,Sin PCA,0.412537,0.007260,0.844437,0.016107,0.412537,0.007260,0.485919,0.008901,0.520610,0.008461,0.708519,0.010504,0.422899,0.000810,0.015444,0.001543,0.587463,0.007260,0.040194,0.000499,0.291481,0.010504,0.400473,0.006481,0.704551,0.003473,0.000069,0.000003,0.030993,0.000049,18.573243,0.789698
15,StandardScaler + NearMiss/SMOTE/ENN + Sin PCA + MLP,mlp,StandardScaler,NearMiss_SMOTE_ENN,Sin PCA,0.498873,0.023662,0.876053,0.025311,0.498873,0.023662,0.569236,0.021463,0.497779,0.049054,0.752931,0.029298,0.431704,0.044275,0.012308,0.001909,0.501127,0.023662,0.034229,0.001670,0.247069,0.029298,0.482539,0.026781,0.774605,0.018405,0.000000,0.000000,35.751122,95.462337,0.121624,0.000054
16,RobustScaler + Sin rebalanceo + Sin PCA + Logistic Regression,logreg,RobustScaler,NONE,Sin PCA,0.640218,0.027155,0.774270,0.015983,0.640218,0.027155,0.631357,0.028110,0.350535,0.010721,0.374922,0.025106,0.328740,0.016338,0.038380,0.002100,0.359782,0.027155,0.026544,0.001949,0.625078,0.025106,0.602227,0.027758,0.881013,0.001300,0.000000,0.000000,517.135549,16576.464834,0.032064,0.000004
17,RobustScaler + Sin rebalanceo + Sin PCA + KNN,knn,RobustScaler,NONE,Sin PCA,0.986664,0.000213,0.987105,0.000218,0.986664,0.000213,0.986760,0.000212,0.942355,0.009478,0.931179,0.003717,0.931124,0.004948,0.002057,0.000056,0.013336,0.000213,0.001026,0.000018,0.068821,0.003717,0.983729,0.000262,0.996719,0.000069,0.000481,0.000025,0.221656,0.002204,129.087763,43.775909
18,RobustScaler + Sin rebalanceo + Sin PCA + MLP,mlp,RobustScaler,NONE,Sin PCA,0.961330,0.010460,0.964577,0.009185,0.961330,0.010460,0.961709,0.010195,0.806823,0.039493,0.750338,0.029849,0.751218,0.036724,0.005315,0.001888,0.038670,0.010460,0.002932,0.000814,0.249662,0.029849,0.953261,0.012704,0.970891,0.010944,0.000000,0.000000,265.470744,4463.502767,0.123985,0.000327
19,RobustScaler + RUS/SMOTE + Sin PCA + Logistic Regression,logreg,RobustScaler,RUS_SMOTE,Sin PCA,0.193574,0.047769,0.399669,0.027210,0.193574,0.047769,0.178966,0.035015,0.182081,0.020884,0.319647,0.003028,0.141127,0.026743,0.031079,0.003228,0.806426,0.047769,0.055834,0.002970,0.680353,0.003028,0.176265,0.049129,0.818906,0.001910,0.000000,0.000000,46.636160,99.808123,0.029411,0.000011
20,RobustScaler + RUS/SMOTE + Sin PCA + KNN,knn,RobustScaler,RUS_SMOTE,Sin PCA,0.973089,0.000651,0.978864,0.000439,0.973089,0.000651,0.974647,0.000560,0.766658,0.007425,0.948266,0.011634,0.806561,0.007224,0.002044,0.000073,0.026911,0.000651,0.001930,0.000048,0.051734,0.011634,0.967676,0.000778,0.992017,0.000236,0.000059,0.000007,0.022112,0.000019,15.831993,3.444533
21,RobustScaler + RUS/SMOTE + Sin PCA + MLP,mlp,RobustScaler,RUS_SMOTE,Sin PCA,0.897790,0.032359,0.940416,0.032984,0.897790,0.032359,0.908300,0.032378,0.640345,0.029715,0.906670,0.037157,0.666389,0.032568,0.004362,0.001323,0.102210,0.032359,0.007105,0.002141,0.093330,0.037157,0.881990,0.034796,0.953815,0.008109,0.000000,0.000000,38.136805,1391.149999,0.120307,0.000067
22,RobustScaler + RUS/SMOTE/ENN + Sin PCA + Logistic Regression,logreg,RobustScaler,RUS_SMOTE_ENN,Sin PCA,0.188473,0.053861,0.397507,0.030189,0.188473,0.053861,0.177178,0.038623,0.180892,0.022860,0.314720,0.009402,0.138223,0.030234,0.030871,0.003449,0.811527,0.053861,0.056160,0.003364,0.685280,0.009402,0.170600,0.055706,0.826953,0.001648,0.000000,0.000000,60.916215,1.320474,0.036489,0.000105
23,RobustScaler + RUS/SMOTE/ENN + Sin PCA + KNN,knn,RobustScaler,RUS_SMOTE_ENN,Sin PCA,0.972373,0.000641,0.976774,0.000470,0.972373,0.000641,0.973835,0.000550,0.752323,0.010679,0.944630,0.012063,0.796089,0.009470,0.003171,0.000092,0.027627,0.000641,0.002053,0.000048,0.055370,0.012063,0.966534,0.000776,0.991686,0.000323,0.000063,0.000007,0.035210,0.000147,16.833994,3.430002
24,RobustScaler + RUS/SMOTE/ENN + Sin PCA + MLP,mlp,RobustScaler,RUS_SMOTE_ENN,Sin PCA,0.923914,0.028015,0.958256,0.008336,0.923914,0.028015,0.935454,0.021057,0.650632,0.014874,0.907914,0.026082,0.681267,0.017304,0.003943,0.000509,0.076086,0.028015,0.005335,0.001884,0.092086,0.026082,0.910645,0.031979,0.959498,0.003269,0.000000,0.000000,24.905225,61.364410,0.126271,0.000033
25,RobustScaler + NearMiss/SMOTE + Sin PCA + Logistic Regression,logreg,RobustScaler,NearMiss_SMOTE,Sin PCA,0.236119,0.046917,0.692188,0.034356,0.236119,0.046917,0.221596,0.041439,0.274252,0.026122,0.342383,0.003529,0.165092,0.031984,0.034199,0.001542,0.763881,0.046917,0.053205,0.003034,0.657617,0.003529,0.220431,0.050248,0.738526,0.001608,0.000000,0.000000,68.526120,126.255121,0.033067,0.000006
26,RobustScaler + NearMiss/SMOTE + Sin PCA + KNN,knn,RobustScaler,NearMiss_SMOTE,Sin PCA,0.377679,0.014062,0.916335,0.000647,0.377679,0.014062,0.456401,0.018058,0.548563,0.004332,0.677940,0.012857,0.393052,0.003288,0.012190,0.000160,0.622321,0.014062,0.042301,0.000929,0.322060,0.012857,0.368306,0.011751,0.687656,0.008028,0.000071,0.000008,0.025482,0.000001,19.121382,5.035840
27,RobustScaler + NearMiss/SMOTE + Sin PCA + MLP,mlp,RobustScaler,NearMiss_SMOTE,Sin PCA,0.393006,0.042313,0.860639,0.043585,0.393006,0.042313,0.445380,0.048954,0.470224,0.015826,0.713077,0.026647,0.376416,0.013015,0.008319,0.003229,0.606994,0.042313,0.041021,0.002917,0.286923,0.026647,0.391951,0.045233,0.746197,0.031850,0.000001,0.000000,220.217127,11530.580200,0.185882,0.004405
28,RobustScaler + NearMiss/SMOTE/ENN + Sin PCA + Logistic Regression,logreg,RobustScaler,NearMiss_SMOTE_ENN,Sin PCA,0.221430,0.051028,0.677001,0.042230,0.221430,0.051028,0.206846,0.044173,0.261868,0.032054,0.345357,0.008429,0.154169,0.035051,0.034599,0.001441,0.778570,0.051028,0.054211,0.003388,0.654643,0.008429,0.203823,0.056530,0.737878,0.001861,0.000000,0.000000,100.033402,91.147321,0.039696,0.000111
29,RobustScaler + NearMiss/SMOTE/ENN + Sin PCA + KNN,knn,RobustScaler,NearMiss_SMOTE_ENN,Sin PCA,0.378349,0.014201,0.917115,0.000328,0.378349,0.014201,0.457451,0.018136,0.548758,0.004307,0.677677,0.013061,0.393257,0.003412,0.012071,0.000134,0.621651,0.014201,0.042248,0.000938,0.322323,0.013061,0.368954,0.011898,0.687909,0.007975,0.000091,0.000010,0.069065,0.000698,24.454299,7.102907
30,RobustScaler + NearMiss/SMOTE/ENN + Sin PCA + MLP,mlp,RobustScaler,NearMiss_SMOTE_ENN,Sin PCA,0.433153,0.037983,0.891704,0.034501,0.433153,0.037983,0.499540,0.036761,0.461887,0.039910,0.725208,0.043244,0.375823,0.037132,0.006868,0.002223,0.566847,0.037983,0.038248,0.002449,0.274792,0.043244,0.433694,0.038177,0.772007,0.027864,0.000001,0.000000,322.318256,47324.751673,0.163006,0.002665
