NÚMERO EXPERIMENTO,DESCRIPCIÓN EXPERIMENTO,MODELO,ESCALADOR,REBALANCEO,PCA,μ ACCURACY,σ ACCURACY,μ PRECISION WEIGHTED,σ PRECISION WEIGHTED,μ RECALL WEIGHTED,σ RECALL WEIGHTED,μ F1 WEIGHTED,σ F1 WEIGHTED,μ PRECISION MACRO,σ PRECISION MACRO,μ RECALL MACRO,σ RECALL MACRO,μ F1 MACRO,σ F1 MACRO,μ FPR WEIGHTED,σ FPR WEIGHTED,μ FNR WEIGHTED,σ FNR WEIGHTED,μ FPR MACRO,σ FPR MACRO,μ FNR MACRO,σ FNR MACRO,μ MCC,σ MCC,μ AUC-ROC,σ AUC-ROC,μ DETECTION LATENCY (S),σ DETECTION LATENCY (S),μ FIT TIME,σ² FIT TIME,μ SCORE TIME,σ² SCORE TIME
11,StandardScaler + NearMiss/SMOTE + PCA + KNN,knn,StandardScaler,NearMiss_SMOTE,PCA,0.317821,0.039464,0.897636,0.003907,0.317821,0.039464,0.379679,0.047896,0.331240,0.005748,0.770480,0.034934,0.275964,0.014942,0.012541,0.000958,0.682179,0.039464,0.049623,0.002775,0.229520,0.034934,0.316422,0.033589,0.657266,0.020113,0.000039,0.000002,0.018786,0.000015,6.855230,0.070352
12,StandardScaler + NearMiss/SMOTE + PCA + MLP,mlp,StandardScaler,NearMiss_SMOTE,PCA,0.348120,0.029090,0.868037,0.049409,0.348120,0.029090,0.412801,0.025311,0.306506,0.009488,0.715664,0.038236,0.252990,0.013760,0.017933,0.010332,0.651880,0.029090,0.047844,0.001579,0.284336,0.038236,0.333265,0.016538,0.625708,0.041172,0.000000,0.000000,16.044942,41.475950,0.072826,0.000098
13,StandardScaler + NearMiss/SMOTE/ENN + PCA + Logistic Regression,logreg,StandardScaler,NearMiss_SMOTE_ENN,PCA,0.334680,0.043300,0.892730,0.026650,0.334680,0.043300,0.395676,0.049355,0.304893,0.008420,0.706295,0.026972,0.233462,0.016422,0.014043,0.005713,0.665320,0.043300,0.048526,0.002890,0.293705,0.026972,0.325856,0.036905,0.577555,0.040352,0.000000,0.000000,23.537043,19.042204,0.018277,0.000002
14,StandardScaler + NearMiss/SMOTE/ENN + PCA + KNN,knn,StandardScaler,NearMiss_SMOTE_ENN,PCA,0.323120,0.042994,0.884788,0.028815,0.323120,0.042994,0.384764,0.051906,0.324957,0.007073,0.772005,0.034135,0.272230,0.021549,0.013657,0.003245,0.676880,0.042994,0.049324,0.003026,0.227995,0.034135,0.319954,0.037176,0.656940,0.021450,0.000038,0.000001,0.030199,0.000113,6.718920,0.046923
15,StandardScaler + NearMiss/SMOTE/ENN + PCA + MLP,mlp,StandardScaler,NearMiss_SMOTE_ENN,PCA,0.347140,0.048416,0.818323,0.130257,0.347140,0.048416,0.409139,0.051728,0.293642,0.027041,0.715671,0.037238,0.248034,0.019687,0.029107,0.029291,0.652860,0.048416,0.048712,0.003909,0.284329,0.037238,0.322266,0.048362,0.624475,0.035507,0.000000,0.000000,18.346731,8.549862,0.073058,0.000026
16,RobustScaler + Sin rebalanceo + PCA + Logistic Regression,logreg,RobustScaler,NONE,PCA,0.258559,0.001286,0.188726,0.000968,0.258559,0.001286,0.179415,0.001256,0.049887,0.000230,0.096239,0.000291,0.052622,0.000301,0.158778,0.000242,0.741441,0.001286,0.064301,0.000108,0.903761,0.000291,0.150872,0.001871,0.564959,0.000839,0.000000,0.000000,3.039947,0.015289,0.012520,0.000004
17,RobustScaler + Sin rebalanceo + PCA + KNN,knn,RobustScaler,NONE,PCA,0.867139,0.000483,0.865413,0.000579,0.867139,0.000483,0.866056,0.000539,0.556777,0.003036,0.530198,0.003698,0.541320,0.003201,0.053357,0.000301,0.132861,0.000483,0.013301,0.000055,0.469802,0.003698,0.811327,0.000730,0.954892,0.000178,0.000002,0.000000,0.196468,0.000627,0.400144,0.000745
18,RobustScaler + Sin rebalanceo + PCA + MLP,mlp,RobustScaler,NONE,PCA,0.428030,0.001380,0.326864,0.001242,0.428030,0.001380,0.350230,0.001481,0.065446,0.000265,0.080594,0.000307,0.068057,0.000321,0.371493,0.000941,0.571970,0.001380,0.067390,0.000166,0.919406,0.000307,0.079963,0.002872,0.528269,0.001160,0.000001,0.000000,43.958492,1573.086583,0.095022,0.000001
19,RobustScaler + RUS/SMOTE + PCA + Logistic Regression,logreg,RobustScaler,RUS_SMOTE,PCA,0.087341,0.000527,0.009757,0.000017,0.087341,0.000527,0.017549,0.000027,0.008076,0.000167,0.104452,0.005204,0.014539,0.000332,0.066061,0.000302,0.912659,0.000527,0.069909,0.000020,0.895548,0.005204,0.039429,0.000560,0.552478,0.002905,0.000000,0.000000,0.794284,0.003501,0.015452,0.000015
20,RobustScaler + RUS/SMOTE + PCA + KNN,knn,RobustScaler,RUS_SMOTE,PCA,0.750033,0.006202,0.861433,0.000792,0.750033,0.006202,0.786923,0.003814,0.360701,0.001389,0.735935,0.037745,0.412866,0.001500,0.031102,0.000476,0.249967,0.006202,0.020076,0.000413,0.264065,0.037745,0.682551,0.006357,0.916715,0.001496,0.000001,0.000000,0.026247,0.000021,0.260832,0.000262
21,RobustScaler + RUS/SMOTE + PCA + MLP,mlp,RobustScaler,RUS_SMOTE,PCA,0.082836,0.050100,0.011346,0.009927,0.082836,0.050100,0.019769,0.016566,0.007779,0.004602,0.102341,0.006151,0.013737,0.007756,0.062430,0.037374,0.917164,0.050100,0.069971,0.000910,0.897659,0.006151,0.036967,0.022099,0.510203,0.006368,0.000001,0.000000,10.129352,22.350801,0.094030,0.000026
22,RobustScaler + RUS/SMOTE/ENN + PCA + Logistic Regression,logreg,RobustScaler,RUS_SMOTE_ENN,PCA,0.145088,0.000538,0.027339,0.000046,0.145088,0.000538,0.045998,0.000066,0.013378,0.000167,0.103513,0.005194,0.022531,0.000332,0.109087,0.000375,0.854912,0.000538,0.068857,0.000023,0.896487,0.005194,0.062344,0.000584,0.549145,0.002913,0.000000,0.000000,0.656203,0.006679,0.014427,0.000002
23,RobustScaler + RUS/SMOTE/ENN + PCA + KNN,knn,RobustScaler,RUS_SMOTE_ENN,PCA,0.777646,0.003612,0.841882,0.002658,0.777646,0.003612,0.799330,0.002273,0.402478,0.002555,0.734231,0.030148,0.452376,0.002410,0.057255,0.002318,0.222354,0.003612,0.019972,0.000290,0.265769,0.030148,0.697933,0.004203,0.893795,0.001737,0.000001,0.000000,0.014553,0.000005,0.188324,0.000019
24,RobustScaler + RUS/SMOTE/ENN + PCA + MLP,mlp,RobustScaler,RUS_SMOTE_ENN,PCA,0.179834,0.075693,0.055030,0.061878,0.179834,0.075693,0.080248,0.076505,0.016747,0.006903,0.102442,0.008018,0.026118,0.006795,0.151894,0.094825,0.820166,0.075693,0.069433,0.001367,0.897558,0.008018,0.049228,0.031603,0.513970,0.009570,0.000001,0.000000,6.137369,3.261373,0.097540,0.000019
25,RobustScaler + NearMiss/SMOTE + PCA + Logistic Regression,logreg,RobustScaler,NearMiss_SMOTE,PCA,0.145088,0.000538,0.027339,0.000046,0.145088,0.000538,0.045998,0.000066,0.013378,0.000167,0.103513,0.005194,0.022531,0.000332,0.109087,0.000375,0.854912,0.000538,0.068857,0.000023,0.896487,0.005194,0.062344,0.000584,0.506729,0.000121,0.000000,0.000000,0.734195,0.010157,0.013389,0.000002
26,RobustScaler + NearMiss/SMOTE + PCA + KNN,knn,RobustScaler,NearMiss_SMOTE,PCA,0.082020,0.000639,0.331474,0.003676,0.082020,0.000639,0.084473,0.001142,0.173947,0.002948,0.577485,0.023146,0.114891,0.004048,0.049635,0.000667,0.917980,0.000639,0.069115,0.000084,0.422515,0.023146,0.046227,0.001093,0.514738,0.000787,0.000001,0.000000,0.027568,0.000010,0.246043,0.001632
27,RobustScaler + NearMiss/SMOTE + PCA + MLP,mlp,RobustScaler,NearMiss_SMOTE,PCA,0.111230,0.031267,0.016800,0.009602,0.111230,0.031267,0.028952,0.015536,0.010447,0.002787,0.104136,0.005645,0.018228,0.004166,0.083642,0.023511,0.888770,0.031267,0.069458,0.000554,0.895864,0.005645,0.049463,0.012042,0.513794,0.003880,0.000001,0.000000,4.848791,0.832981,0.094279,0.000002
28,RobustScaler + NearMiss/SMOTE/ENN + PCA + Logistic Regression,logreg,RobustScaler,NearMiss_SMOTE_ENN,PCA,0.314559,0.000428,0.165477,0.000317,0.314559,0.000428,0.216813,0.000314,0.028937,0.000147,0.087868,0.005228,0.037966,0.000306,0.321801,0.001049,0.685441,0.000428,0.071946,0.000065,0.912132,0.005228,-0.008565,0.001049,0.545378,0.000326,0.000000,0.000000,0.708141,0.005012,0.012529,0.000001
29,RobustScaler + NearMiss/SMOTE/ENN + PCA + KNN,knn,RobustScaler,NearMiss_SMOTE_ENN,PCA,0.085317,0.002939,0.325149,0.003519,0.085317,0.002939,0.090411,0.004718,0.186168,0.004176,0.563625,0.027914,0.127540,0.006591,0.061329,0.001209,0.914683,0.002939,0.069715,0.000239,0.436375,0.027914,0.039167,0.003517,0.512860,0.001320,0.000001,0.000000,0.014495,0.000000,0.189762,0.000532
30,RobustScaler + NearMiss/SMOTE/ENN + PCA + MLP,mlp,RobustScaler,NearMiss_SMOTE_ENN,PCA,0.281003,0.075763,0.137913,0.061824,0.281003,0.075763,0.182720,0.076446,0.025920,0.006950,0.094045,0.006991,0.035059,0.006883,0.279247,0.094974,0.718997,0.075763,0.071303,0.001373,0.905955,0.006991,0.006171,0.031600,0.500878,0.009611,0.000001,0.000000,47.328728,1691.405597,0.109428,0.001111
