NÚMERO EXPERIMENTO,DESCRIPCIÓN EXPERIMENTO,MODELO,ESCALADOR,REBALANCEO,PCA,ACCURACY,PRECISION WEIGHTED,RECALL WEIGHTED,F1 WEIGHTED,PRECISION MACRO,RECALL MACRO,F1 MACRO,FPR WEIGHTED,FNR WEIGHTED,FPR MACRO,FNR MACRO,MCC,AUC-ROC,DETECTION LATENCY (S),FIT TIME,SCORE TIME
11,StandardScaler + NearMiss/SMOTE + PCA + KNN,knn,StandardScaler,NearMiss_SMOTE,PCA,0.359480,0.893540,0.359480,0.426366,0.337783,0.797550,0.299325,0.013455,0.640520,0.046712,0.202450,0.352960,0.675663,0.000039,0.017808,8.674239
12,StandardScaler + NearMiss/SMOTE + PCA + MLP,mlp,StandardScaler,NearMiss_SMOTE,PCA,0.376178,0.841412,0.376178,0.434249,0.288435,0.776289,0.249898,0.019932,0.623822,0.045982,0.223711,0.355080,0.600219,0.000000,27.226599,0.082511
13,StandardScaler + NearMiss/SMOTE/ENN + PCA + Logistic Regression,logreg,StandardScaler,NearMiss_SMOTE_ENN,PCA,0.370080,0.889252,0.370080,0.432210,0.304632,0.686091,0.241412,0.017008,0.629920,0.046209,0.313909,0.356201,0.618584,0.000000,21.553443,0.022976
14,StandardScaler + NearMiss/SMOTE/ENN + PCA + KNN,knn,StandardScaler,NearMiss_SMOTE_ENN,PCA,0.361533,0.891487,0.361533,0.428074,0.338006,0.799260,0.299830,0.013758,0.638467,0.046587,0.200740,0.354304,0.675561,0.000039,0.043675,8.535493
15,StandardScaler + NearMiss/SMOTE/ENN + PCA + MLP,mlp,StandardScaler,NearMiss_SMOTE_ENN,PCA,0.368300,0.903304,0.368300,0.442565,0.307824,0.764520,0.247140,0.009221,0.631700,0.045780,0.235480,0.357104,0.640865,0.000000,24.505451,0.089118
16,RobustScaler + Sin rebalanceo + PCA + Logistic Regression,logreg,RobustScaler,NONE,PCA,0.258662,0.188795,0.258662,0.179481,0.049906,0.096279,0.052642,0.158751,0.741338,0.064292,0.903721,0.151081,0.564850,0.000000,3.730988,0.016122
17,RobustScaler + Sin rebalanceo + PCA + KNN,knn,RobustScaler,NONE,PCA,0.868371,0.866757,0.868371,0.867351,0.562535,0.538130,0.548595,0.052988,0.131629,0.013187,0.461870,0.813050,0.954780,0.000004,0.227980,0.797251
18,RobustScaler + Sin rebalanceo + PCA + MLP,mlp,RobustScaler,NONE,PCA,0.428073,0.326923,0.428073,0.350278,0.065459,0.080603,0.068068,0.371469,0.571927,0.067385,0.919397,0.080057,0.528302,0.000001,19.042280,0.118337
19,RobustScaler + RUS/SMOTE + PCA + Logistic Regression,logreg,RobustScaler,RUS_SMOTE,PCA,0.087088,0.009753,0.087088,0.017541,0.007997,0.085673,0.014383,0.065955,0.912912,0.069919,0.914327,0.039134,0.552846,0.000000,0.702282,0.015841
20,RobustScaler + RUS/SMOTE + PCA + KNN,knn,RobustScaler,RUS_SMOTE,PCA,0.747587,0.860164,0.747587,0.784748,0.359632,0.785518,0.412633,0.031323,0.252413,0.020267,0.214482,0.679593,0.916988,0.000002,0.030018,0.349025
21,RobustScaler + RUS/SMOTE + PCA + MLP,mlp,RobustScaler,RUS_SMOTE,PCA,0.089678,0.009816,0.089678,0.017665,0.008830,0.105601,0.016009,0.067144,0.910322,0.069819,0.894399,0.041959,0.511267,0.000001,6.637352,0.120690
22,RobustScaler + RUS/SMOTE/ENN + PCA + Logistic Regression,logreg,RobustScaler,RUS_SMOTE_ENN,PCA,0.144914,0.027350,0.144914,0.046015,0.013305,0.084776,0.022386,0.108969,0.855086,0.068861,0.915224,0.062207,0.550294,0.000000,0.591569,0.017037
23,RobustScaler + RUS/SMOTE/ENN + PCA + KNN,knn,RobustScaler,RUS_SMOTE_ENN,PCA,0.778534,0.839526,0.778534,0.798715,0.404442,0.736607,0.455131,0.059629,0.221466,0.020078,0.263393,0.697899,0.893256,0.000001,0.013449,0.243169
24,RobustScaler + RUS/SMOTE/ENN + PCA + MLP,mlp,RobustScaler,RUS_SMOTE_ENN,PCA,0.144914,0.027350,0.144914,0.046015,0.013305,0.084776,0.022386,0.108969,0.855086,0.068861,0.915224,0.062207,0.517972,0.000001,4.155997,0.112787
25,RobustScaler + NearMiss/SMOTE + PCA + Logistic Regression,logreg,RobustScaler,NearMiss_SMOTE,PCA,0.144914,0.027350,0.144914,0.046015,0.013305,0.084776,0.022386,0.108969,0.855086,0.068861,0.915224,0.062207,0.506844,0.000000,0.704308,0.014168
26,RobustScaler + NearMiss/SMOTE + PCA + KNN,knn,RobustScaler,NearMiss_SMOTE,PCA,0.074118,0.304567,0.074118,0.070055,0.168331,0.626714,0.112900,0.049485,0.925882,0.069669,0.373286,0.038814,0.510790,0.000001,0.020256,0.219814
27,RobustScaler + NearMiss/SMOTE + PCA + MLP,mlp,RobustScaler,NearMiss_SMOTE,PCA,0.203904,0.081586,0.203904,0.116173,0.019317,0.079853,0.027939,0.266470,0.796096,0.075898,0.920147,-0.086050,0.468717,0.000001,2.729697,0.122106
28,RobustScaler + NearMiss/SMOTE/ENN + PCA + Logistic Regression,logreg,RobustScaler,NearMiss_SMOTE_ENN,PCA,0.314325,0.165477,0.314325,0.216812,0.028859,0.069100,0.037813,0.321687,0.685675,0.071954,0.930900,-0.008817,0.545713,0.000000,0.674095,0.016523
29,RobustScaler + NearMiss/SMOTE/ENN + PCA + KNN,knn,RobustScaler,NearMiss_SMOTE_ENN,PCA,0.076116,0.301017,0.076116,0.073225,0.178051,0.630356,0.120755,0.058740,0.923884,0.070187,0.369644,0.032668,0.509559,0.000001,0.014980,0.233728
30,RobustScaler + NearMiss/SMOTE/ENN + PCA + MLP,mlp,RobustScaler,NearMiss_SMOTE_ENN,PCA,0.315568,0.165491,0.315568,0.216840,0.029259,0.090594,0.038603,0.322232,0.684432,0.071905,0.909406,-0.007407,0.496668,0.000001,4.755631,0.117357
