,NUEVA CLASE,ORIGINAL (CIC17),LIMPIADO,80% (train),,,,,,,,,,,,,,,,,,,,
NÚMERO EXPERIMENTO,DESCRIPCIÓN EXPERIMENTO,N,μ ACCURACY," σ ACCURACY",μ PRECISION WEIGHTED,σ PRECISION WEIGHTED,μ RECALL WEIGHTED,σ RECALL WEIGHTED,μ F1 WEIGHTED," σ F1 WEIGHTED",μ PRECISION MACRO,σ PRECISION MACRO,μ RECALL MACRO,σ RECALL MACRO,μ F1 MACRO,σ F1 MACRO,μ MCC,σ MCC,μ AUC-ROC,σ AUC-ROC,μ FIT TIME,σ FIT TIME,μ SCORE TIME,σ SCORE TIME
,,2000,0.764127,0.005198,0.918364,0.001746,0.764127,0.005198,0.819749,0.004159,0.255432,0.003364,0.777094,0.033278,0.314922,0.003899,0.548618,0.004749,0.926321,0.001453,0.013665,0.000045,1.096807,0.064138
,,5000,0.800775,0.003999,0.927484,0.001383,0.800775,0.003999,0.847493,0.002941,0.275771,0.005578,0.792775,0.037944,0.340424,0.006597,0.595857,0.004740,0.940933,0.001277,0.031433,0.000047,1.348475,0.003594
,,10000,0.827718,0.002915,0.934454,0.001337,0.827718,0.002915,0.867764,0.002061,0.295251,0.006679,0.797407,0.041983,0.363786,0.007805,0.633188,0.003939,0.950508,0.000550,0.072596,0.000169,1.345439,0.039528
,,20000,0.852070,0.003566,0.940356,0.001472,0.852070,0.003566,0.885559,0.002066,0.314515,0.006093,0.795585,0.037880,0.387239,0.006776,0.669733,0.005071,0.958552,0.000664,0.177402,0.000349,1.528071,0.117452
,,30000,0.864496,0.003858,0.943609,0.001430,0.864496,0.003858,0.894713,0.002256,0.327454,0.006133,0.794032,0.033134,0.402130,0.006423,0.689642,0.005725,0.962176,0.000629,0.230862,0.002271,1.743444,0.127521
,,40000,0.872808,0.003944,0.945982,0.001467,0.872808,0.003944,0.900874,0.002322,0.337372,0.005329,0.797780,0.036509,0.413300,0.005530,0.703546,0.005959,0.964772,0.000502,0.381305,0.001223,1.487846,0.159934
6,RobustScaler + RUS/SMOTE/ENN,500,0.767236,0.009141,0.902297,0.001851,0.767236,0.009141,0.820997,0.006771,0.237268,0.003350,0.738240,0.035823,0.281201,0.003679,0.506102,0.009830,0.885528,0.003373,0.002760,0.000000,0.732019,0.015871
,,1000,0.787947,0.005084,0.911219,0.001390,0.787947,0.005084,0.837249,0.003897,0.254891,0.007459,0.763540,0.041222,0.304714,0.008808,0.540715,0.006348,0.902060,0.002327,0.004641,0.000001,0.842936,0.064915
,,2000,0.806789,0.005829,0.918580,0.001777,0.806789,0.005829,0.851542,0.004383,0.274064,0.004500,0.777693,0.032865,0.328607,0.004029,0.572896,0.006698,0.916661,0.001840,0.008616,0.000006,0.833895,0.043878
,,5000,0.838998,0.004017,0.928682,0.001381,0.838998,0.004017,0.875149,0.003123,0.295832,0.004318,0.798054,0.039845,0.356910,0.005890,0.625851,0.005504,0.933081,0.001457,0.029256,0.000005,0.974082,0.084104
