NÚMERO EXPERIMENTO,DESCRIPCIÓN EXPERIMENTO,MODELO,ESCALADOR,REBALANCEO,PCA,μ ACCURACY,σ ACCURACY,μ PRECISION WEIGHTED,σ PRECISION WEIGHTED,μ RECALL WEIGHTED,σ RECALL WEIGHTED,μ F1 WEIGHTED,σ F1 WEIGHTED,μ PRECISION MACRO,σ PRECISION MACRO,μ RECALL MACRO,σ RECALL MACRO,μ F1 MACRO,σ F1 MACRO,μ FPR WEIGHTED,σ FPR WEIGHTED,μ FNR WEIGHTED,σ FNR WEIGHTED,μ FPR MACRO,σ FPR MACRO,μ FNR MACRO,σ FNR MACRO,μ MCC,σ MCC,μ AUC-ROC,σ AUC-ROC,μ DETECTION LATENCY (S),σ DETECTION LATENCY (S),μ FIT TIME,σ² FIT TIME,μ SCORE TIME,σ² SCORE TIME
13,StandardScaler + NearMiss/SMOTE/ENN + PCA + Logistic Regression,logreg,StandardScaler,NearMiss_SMOTE_ENN,PCA,0.111203,0.017519,0.894426,0.093523,0.111203,0.017519,0.150163,0.022263,0.227394,0.018002,0.712306,0.033682,0.149966,0.023844,0.017958,0.029633,0.888797,0.017519,0.060450,0.002672,0.287694,0.033682,0.135064,0.036501,0.380758,0.005165,0.000000,0.000000,24.573963,23.587068,0.040260,0.000006
14,StandardScaler + NearMiss/SMOTE/ENN + PCA + KNN,knn,StandardScaler,NearMiss_SMOTE_ENN,PCA,0.156465,0.004557,0.813889,0.012114,0.156465,0.004557,0.213234,0.010857,0.288655,0.008990,0.735214,0.022960,0.217305,0.011268,0.075986,0.006393,0.843535,0.004557,0.061301,0.000463,0.264786,0.022960,0.152398,0.011812,0.538516,0.001765,0.000050,0.000004,0.011818,0.000005,20.291993,2.104995
15,StandardScaler + NearMiss/SMOTE/ENN + PCA + MLP,mlp,StandardScaler,NearMiss_SMOTE_ENN,PCA,0.169274,0.008543,0.875718,0.067778,0.169274,0.008543,0.229231,0.014016,0.245130,0.009063,0.751364,0.035548,0.192615,0.015346,0.043704,0.037594,0.830726,0.008543,0.058295,0.002765,0.248636,0.035548,0.189737,0.019532,0.561098,0.038496,0.000000,0.000000,59.892659,1444.773333,0.186308,0.000663
16,RobustScaler + Sin rebalanceo + PCA + Logistic Regression,logreg,RobustScaler,NONE,PCA,0.814959,0.000377,0.713568,0.000464,0.814959,0.000377,0.754822,0.000330,0.085643,0.000616,0.092739,0.001028,0.076197,0.000416,0.792358,0.000603,0.185041,0.000377,0.065160,0.000061,0.907261,0.001028,0.057656,0.001890,0.363309,0.003248,0.000000,0.000000,344.445417,315.039121,0.025333,0.000038
17,RobustScaler + Sin rebalanceo + PCA + KNN,knn,RobustScaler,NONE,PCA,0.971581,0.000578,0.971451,0.000628,0.971581,0.000578,0.971494,0.000601,0.679809,0.018452,0.671763,0.028454,0.673113,0.022298,0.058720,0.002014,0.028419,0.000578,0.005809,0.000173,0.328237,0.028454,0.905398,0.002009,0.983607,0.000698,0.000006,0.000001,1.318057,0.173930,2.506327,0.299176
18,RobustScaler + Sin rebalanceo + PCA + MLP,mlp,RobustScaler,NONE,PCA,0.845619,0.007352,0.763310,0.007728,0.845619,0.007352,0.792526,0.012986,0.157292,0.021677,0.130615,0.026129,0.135026,0.024611,0.696673,0.083604,0.154381,0.007352,0.056737,0.006041,0.869385,0.026129,0.288051,0.072524,0.583197,0.043267,0.000000,0.000000,93.724875,4587.978211,0.173029,0.000011
19,RobustScaler + RUS/SMOTE + PCA + Logistic Regression,logreg,RobustScaler,RUS_SMOTE,PCA,0.011675,0.004294,0.187694,0.373188,0.011675,0.004294,0.013747,0.008337,0.047599,0.032411,0.155148,0.015143,0.030711,0.003402,0.003166,0.000746,0.988325,0.004294,0.066099,0.000291,0.844852,0.015143,0.023293,0.004851,0.509933,0.001488,0.000000,0.000000,32.650904,5.486119,0.023717,0.000002
20,RobustScaler + RUS/SMOTE + PCA + KNN,knn,RobustScaler,RUS_SMOTE,PCA,0.827718,0.002915,0.934454,0.001337,0.827718,0.002915,0.867764,0.002061,0.295251,0.006679,0.797407,0.041983,0.363786,0.007805,0.016977,0.000603,0.172282,0.002915,0.012617,0.000196,0.202593,0.041983,0.633188,0.003939,0.950508,0.000550,0.000003,0.000000,0.065456,0.000099,1.239283,0.040060
21,RobustScaler + RUS/SMOTE + PCA + MLP,mlp,RobustScaler,RUS_SMOTE,PCA,0.120751,0.031657,0.856633,0.031662,0.120751,0.031657,0.161502,0.018692,0.158256,0.021805,0.226721,0.008839,0.099781,0.014624,0.025297,0.021636,0.879249,0.031657,0.060303,0.000997,0.773279,0.008839,0.145458,0.038152,0.562508,0.019371,0.000000,0.000000,37.167198,251.767769,0.187855,0.000178
22,RobustScaler + RUS/SMOTE/ENN + PCA + Logistic Regression,logreg,RobustScaler,RUS_SMOTE_ENN,PCA,0.012933,0.008513,0.853859,0.000811,0.012933,0.008513,0.020051,0.016658,0.106289,0.001729,0.150277,0.016650,0.028612,0.003062,0.000726,0.000017,0.987067,0.008513,0.065853,0.000568,0.849723,0.016650,0.027300,0.005801,0.504619,0.001782,0.000000,0.000000,29.944439,2.796921,0.028330,0.000016
23,RobustScaler + RUS/SMOTE/ENN + PCA + KNN,knn,RobustScaler,RUS_SMOTE_ENN,PCA,0.860952,0.001978,0.936428,0.000958,0.860952,0.001978,0.891616,0.001553,0.313418,0.005265,0.797131,0.032058,0.377297,0.006604,0.040364,0.001766,0.139048,0.001978,0.011961,0.000137,0.202869,0.032058,0.663554,0.002812,0.944043,0.000891,0.000003,0.000000,0.060535,0.000112,1.081404,0.018848
24,RobustScaler + RUS/SMOTE/ENN + PCA + MLP,mlp,RobustScaler,RUS_SMOTE_ENN,PCA,0.091062,0.018469,0.848154,0.047098,0.091062,0.018469,0.149105,0.021499,0.136235,0.012949,0.223169,0.006090,0.068683,0.004672,0.011096,0.011220,0.908938,0.018469,0.061336,0.001790,0.776831,0.006090,0.085241,0.049804,0.557582,0.032246,0.000000,0.000000,29.781106,208.729535,0.174355,0.000031
25,RobustScaler + NearMiss/SMOTE + PCA + Logistic Regression,logreg,RobustScaler,NearMiss_SMOTE,PCA,0.002295,0.000064,0.439907,0.406090,0.002295,0.000064,0.000824,0.000169,0.050772,0.034180,0.146617,0.015617,0.024090,0.004299,0.000608,0.000108,0.997705,0.000064,0.066554,0.000009,0.853383,0.015617,0.005887,0.000497,0.567421,0.001462,0.000000,0.000000,19.831257,10.422585,0.025512,0.000005
26,RobustScaler + NearMiss/SMOTE + PCA + KNN,knn,RobustScaler,NearMiss_SMOTE,PCA,0.083911,0.023894,0.832844,0.032076,0.083911,0.023894,0.096901,0.033070,0.132854,0.017724,0.639685,0.048589,0.101586,0.022696,0.018431,0.003188,0.916089,0.023894,0.062301,0.001738,0.360315,0.048589,0.072843,0.020764,0.535511,0.011860,0.000004,0.000001,0.059238,0.000118,1.430544,0.125962
27,RobustScaler + NearMiss/SMOTE + PCA + MLP,mlp,RobustScaler,NearMiss_SMOTE,PCA,0.299185,0.358752,0.790354,0.058339,0.299185,0.358752,0.300754,0.372090,0.093261,0.014888,0.183021,0.025692,0.059038,0.042440,0.215895,0.257393,0.700815,0.358752,0.061114,0.006968,0.816979,0.025692,0.039631,0.075306,0.536532,0.041203,0.000000,0.000000,5.903654,6.725299,0.169843,0.000012
28,RobustScaler + NearMiss/SMOTE/ENN + PCA + Logistic Regression,logreg,RobustScaler,NearMiss_SMOTE_ENN,PCA,0.429930,0.386959,0.588533,0.205183,0.429930,0.386959,0.421263,0.376962,0.063283,0.020114,0.140710,0.011175,0.058124,0.032911,0.469879,0.405659,0.570070,0.386959,0.069330,0.001573,0.859290,0.011175,-0.019546,0.014577,0.602331,0.014619,0.000000,0.000000,31.112699,5.392020,0.031847,0.000075
29,RobustScaler + NearMiss/SMOTE/ENN + PCA + KNN,knn,RobustScaler,NearMiss_SMOTE_ENN,PCA,0.090756,0.022728,0.834801,0.024653,0.090756,0.022728,0.107968,0.034512,0.127566,0.020366,0.647786,0.037557,0.096533,0.025285,0.019777,0.004051,0.909244,0.022728,0.061935,0.001664,0.352214,0.037557,0.073015,0.018748,0.536518,0.011663,0.000003,0.000000,0.039631,0.000000,1.099406,0.016612
30,RobustScaler + NearMiss/SMOTE/ENN + PCA + MLP,mlp,RobustScaler,NearMiss_SMOTE_ENN,PCA,0.153243,0.303583,0.645484,0.363245,0.153243,0.303583,0.151445,0.312582,0.082586,0.038892,0.193710,0.021294,0.047936,0.029431,0.103149,0.214339,0.846757,0.303583,0.063327,0.005968,0.806290,0.021294,0.038475,0.045625,0.515986,0.036222,0.000000,0.000000,4.372595,2.214335,0.168667,0.000033
