NÚMERO EXPERIMENTO,DESCRIPCIÓN EXPERIMENTO,MODELO,ESCALADOR,REBALANCEO,PCA,ACCURACY,PRECISION WEIGHTED,RECALL WEIGHTED,F1 WEIGHTED,PRECISION MACRO,RECALL MACRO,F1 MACRO,FPR WEIGHTED,FNR WEIGHTED,FPR MACRO,FNR MACRO,MCC,AUC-ROC,DETECTION LATENCY (S),FIT TIME,SCORE TIME
11,StandardScaler + NearMiss/SMOTE + PCA + KNN,knn,StandardScaler,NearMiss_SMOTE,PCA,0.150067,0.809133,0.150067,0.198776,0.278516,0.733241,0.205264,0.071220,0.849933,0.061410,0.266759,0.145166,0.531118,0.000045,0.015453,22.627535
12,StandardScaler + NearMiss/SMOTE + PCA + MLP,mlp,StandardScaler,NearMiss_SMOTE,PCA,0.140882,0.900005,0.140882,0.180997,0.233383,0.701873,0.165963,0.025642,0.859118,0.058984,0.298127,0.156581,0.495430,0.000000,7.955249,0.212852
13,StandardScaler + NearMiss/SMOTE/ENN + PCA + Logistic Regression,logreg,StandardScaler,NearMiss_SMOTE_ENN,PCA,0.101063,0.930147,0.101063,0.139707,0.222442,0.738330,0.137748,0.004774,0.898937,0.060247,0.261670,0.130218,0.364361,0.000000,30.074067,0.055252
14,StandardScaler + NearMiss/SMOTE/ENN + PCA + KNN,knn,StandardScaler,NearMiss_SMOTE_ENN,PCA,0.150403,0.819663,0.150403,0.205377,0.291335,0.732562,0.217526,0.066581,0.849597,0.061079,0.267438,0.155325,0.534263,0.000046,0.013367,23.323805
15,StandardScaler + NearMiss/SMOTE/ENN + PCA + MLP,mlp,StandardScaler,NearMiss_SMOTE_ENN,PCA,0.171842,0.799511,0.171842,0.231966,0.233838,0.711907,0.188869,0.091723,0.828158,0.061325,0.288093,0.155979,0.495806,0.000000,74.616599,0.230701
16,RobustScaler + Sin rebalanceo + PCA + Logistic Regression,logreg,RobustScaler,NONE,PCA,0.814922,0.713501,0.814922,0.754751,0.085891,0.093698,0.076521,0.792532,0.185078,0.065174,0.906302,0.057383,0.362349,0.000000,456.303693,0.031576
17,RobustScaler + Sin rebalanceo + PCA + KNN,knn,RobustScaler,NONE,PCA,0.973022,0.972859,0.973022,0.972919,0.742580,0.662816,0.679472,0.056766,0.026978,0.005583,0.337184,0.910145,0.984186,0.000007,2.343977,3.285671
18,RobustScaler + Sin rebalanceo + PCA + MLP,mlp,RobustScaler,NONE,PCA,0.841788,0.777091,0.841788,0.795199,0.181051,0.124592,0.139172,0.692556,0.158212,0.056718,0.875408,0.275798,0.600152,0.000001,90.410354,0.261714
19,RobustScaler + RUS/SMOTE + PCA + Logistic Regression,logreg,RobustScaler,RUS_SMOTE,PCA,0.015426,0.865154,0.015426,0.020449,0.113155,0.155043,0.037193,0.002478,0.984574,0.065803,0.844957,0.037849,0.508834,0.000000,29.191879,0.028429
20,RobustScaler + RUS/SMOTE + PCA + KNN,knn,RobustScaler,RUS_SMOTE,PCA,0.835465,0.933822,0.835465,0.872115,0.295065,0.778073,0.364451,0.017636,0.164535,0.012145,0.221927,0.642790,0.951674,0.000002,0.047441,1.207810
21,RobustScaler + RUS/SMOTE + PCA + MLP,mlp,RobustScaler,RUS_SMOTE,PCA,0.102233,0.875123,0.102233,0.143480,0.127449,0.222506,0.078440,0.004917,0.897767,0.060179,0.777494,0.155224,0.551780,0.000000,49.967249,0.230735
22,RobustScaler + RUS/SMOTE/ENN + PCA + Logistic Regression,logreg,RobustScaler,RUS_SMOTE_ENN,PCA,0.024185,0.853527,0.024185,0.042107,0.106739,0.149351,0.031861,0.000687,0.975815,0.065100,0.850649,0.034701,0.501844,0.000000,31.239416,0.029326
23,RobustScaler + RUS/SMOTE/ENN + PCA + KNN,knn,RobustScaler,RUS_SMOTE_ENN,PCA,0.865075,0.936437,0.865075,0.894061,0.315290,0.758730,0.379983,0.042353,0.134925,0.011819,0.241270,0.669334,0.944979,0.000003,0.067053,1.639023
24,RobustScaler + RUS/SMOTE/ENN + PCA + MLP,mlp,RobustScaler,RUS_SMOTE_ENN,PCA,0.173917,0.845817,0.173917,0.210469,0.154931,0.216474,0.106481,0.053873,0.826083,0.058664,0.783526,0.186429,0.552445,0.000000,29.802817,0.209239
25,RobustScaler + NearMiss/SMOTE + PCA + Logistic Regression,logreg,RobustScaler,NearMiss_SMOTE,PCA,0.002275,0.000516,0.002275,0.000804,0.016122,0.161033,0.025074,0.000497,0.997725,0.066548,0.838967,0.006094,0.567208,0.000000,20.795257,0.031508
26,RobustScaler + NearMiss/SMOTE + PCA + KNN,knn,RobustScaler,NearMiss_SMOTE,PCA,0.067020,0.851211,0.067020,0.090382,0.120124,0.576338,0.068204,0.009754,0.932980,0.062849,0.423662,0.051723,0.541394,0.000005,0.064417,2.418166
27,RobustScaler + NearMiss/SMOTE + PCA + MLP,mlp,RobustScaler,NearMiss_SMOTE,PCA,0.021620,0.831470,0.021620,0.036112,0.076989,0.188050,0.020665,0.001117,0.978380,0.065300,0.811950,0.017306,0.447269,0.000000,11.433265,0.209584
28,RobustScaler + NearMiss/SMOTE/ENN + PCA + Logistic Regression,logreg,RobustScaler,NearMiss_SMOTE_ENN,PCA,0.711905,0.682258,0.711905,0.696236,0.072262,0.151064,0.082069,0.765881,0.288095,0.070265,0.848936,-0.028414,0.611872,0.000000,29.658344,0.027241
29,RobustScaler + NearMiss/SMOTE/ENN + PCA + KNN,knn,RobustScaler,NearMiss_SMOTE_ENN,PCA,0.090751,0.849902,0.090751,0.131923,0.118927,0.577650,0.074687,0.009541,0.909249,0.061253,0.422350,0.060952,0.544076,0.000003,0.039356,1.364507
30,RobustScaler + NearMiss/SMOTE/ENN + PCA + MLP,mlp,RobustScaler,NearMiss_SMOTE_ENN,PCA,0.043163,0.831491,0.043163,0.074210,0.077187,0.204136,0.024327,0.000570,0.956837,0.063827,0.795864,0.032098,0.532879,0.000000,5.258976,0.202333
