N,métrica,tipo_tiempo,tiempo,valor_métrica,delta_métrica,delta_tiempo,VD,VD_normalizado
5000.0,σ F1 MACRO,total_time,2.082884375,0.01506125,-0.003082125,1.00361325,-0.003071028605889769,0.39832659367058093
10000.0,σ F1 MACRO,total_time,3.792977875,0.010321875,-0.0047393750000000005,1.7100935000000002,-0.002771412791171945,0.4052620427065452
20000.0,σ F1 MACRO,total_time,7.03052275,0.008397874999999999,-0.0019240000000000004,3.237544875,-0.0005942774770033111,0.4556579506463015
30000.0,σ F1 MACRO,total_time,10.339109624999999,0.007204375,-0.0011934999999999992,3.3085868749999987,-0.0003607280222919943,0.46106410833545103
40000.0,σ F1 MACRO,total_time,13.698172875000001,0.00906675,0.0018623750000000003,3.359063250000002,0.0005544328467170124,0.48224807545246834
500.0,μ F1 MACRO,fit_time,0.010024875,0.49294787500000004,,,,
1000.0,μ F1 MACRO,fit_time,0.014630875,0.513240375,0.020292499999999936,0.004605999999999999,4.405666521927907,1.0
2000.0,μ F1 MACRO,fit_time,0.02510225,0.542513625,0.02927325000000003,0.010471375,2.7955497725943372,0.626445139057699
5000.0,μ F1 MACRO,fit_time,0.06627775,0.5880685,0.045554874999999995,0.0411755,1.1063587570278441,0.23454466650743244
10000.0,μ F1 MACRO,fit_time,0.13351849999999998,0.60200475,0.013936249999999983,0.06724074999999999,0.20725899101363363,0.02594917912696267
20000.0,μ F1 MACRO,fit_time,0.26090025,0.6462917499999999,0.044286999999999965,0.12738175000000002,0.3476714678515561,0.05852555179153128
30000.0,μ F1 MACRO,fit_time,0.383069875,0.685494375,0.039202625000000046,0.122169625,0.3208868407347575,0.05231138896007921
40000.0,μ F1 MACRO,fit_time,0.514128625,0.697998875,0.01250450000000003,0.13105875,0.09541140900550348,0.0
500.0,μ F1 MACRO,score_time,0.536156625,0.49294787500000004,,,,
1000.0,μ F1 MACRO,score_time,0.740258,0.513240375,0.020292499999999936,0.20410137499999992,0.0994236320063985,1.0
2000.0,μ F1 MACRO,score_time,1.054168875,0.542513625,0.02927325000000003,0.31391087500000003,0.0932533796415942,0.9354237536803914
