,NUEVA CLASE,ORIGINAL (CIC18),LIMPIADO,80% (train),,,,,,,,,,,,,,,,,,,,
,,5000,0.370760,0.004915,0.871234,0.009003,0.370760,0.004915,0.435198,0.006571,0.535439,0.008926,0.670304,0.009274,0.387591,0.005618,0.357352,0.004903,0.686022,0.002749,0.009420,0.000003,9.859176,0.062320
,,10000,0.416203,0.002486,0.864821,0.021334,0.416203,0.002486,0.492612,0.004544,0.529523,0.015278,0.704794,0.011485,0.422057,0.005047,0.404004,0.003460,0.706747,0.001000,0.020153,0.000049,18.112573,1.744562
,,20000,0.482512,0.003069,0.871615,0.016217,0.482512,0.003069,0.557659,0.003962,0.604108,0.011416,0.751676,0.011282,0.530665,0.004749,0.471961,0.003501,0.745341,0.004523,0.038201,0.000051,35.190989,3.585691
,,30000,0.569806,0.002396,0.908845,0.009624,0.569806,0.002396,0.636755,0.005312,0.651972,0.009109,0.807918,0.011932,0.609380,0.005969,0.562841,0.002209,0.785703,0.001229,0.056657,0.000000,50.876314,57.463743
,,40000,0.588513,0.002275,0.916127,0.009778,0.588513,0.002275,0.654121,0.005336,0.658440,0.010217,0.816905,0.010854,0.620912,0.007227,0.582229,0.001971,0.796099,0.001398,0.076480,0.000003,65.998181,14.939013
4,StandardScaler + NearMiss/SMOTE/ENN,500,0.285871,0.002787,0.751150,0.006535,0.285871,0.002787,0.314554,0.001949,0.406799,0.011870,0.577189,0.011998,0.291767,0.011152,0.264131,0.003708,0.639426,0.000559,0.003626,0.000016,0.979348,0.001732
,,1000,0.286131,0.005415,0.768302,0.002946,0.286131,0.005415,0.311500,0.007115,0.432010,0.011031,0.583178,0.008752,0.304161,0.009464,0.270279,0.004439,0.643605,0.001841,0.002992,0.000001,1.362227,0.068114
,,2000,0.311455,0.004500,0.802774,0.003518,0.311455,0.004500,0.344890,0.004404,0.480087,0.007322,0.631684,0.007561,0.335115,0.005848,0.295891,0.004340,0.656452,0.004313,0.005469,0.000001,2.735158,0.061641
,,5000,0.372081,0.004736,0.869153,0.002489,0.372081,0.004736,0.437430,0.005887,0.536358,0.008909,0.671118,0.009487,0.389632,0.005836,0.358446,0.004348,0.686714,0.002718,0.008879,0.000010,6.322799,0.391869
,,10000,0.419599,0.002290,0.860133,0.024635,0.419599,0.002290,0.496519,0.003030,0.529157,0.016290,0.705915,0.010742,0.424882,0.004092,0.406964,0.002437,0.708094,0.001462,0.018784,0.000067,12.438353,0.502620
,,20000,0.487384,0.004272,0.854826,0.008638,0.487384,0.004272,0.560349,0.004862,0.595700,0.009765,0.755379,0.012335,0.533776,0.005979,0.474728,0.004740,0.743106,0.002904,0.057364,0.001022,32.558912,20.604508
,,30000,0.574828,0.002227,0.901030,0.007081,0.574828,0.002227,0.636848,0.004550,0.649237,0.008919,0.812709,0.012592,0.611731,0.006794,0.566558,0.002395,0.789015,0.002469,0.076104,0.002581,45.664015,3.106436
,,40000,0.595899,0.002695,0.909926,0.005616,0.595899,0.002695,0.655895,0.002765,0.656812,0.009761,0.825432,0.013837,0.624449,0.007861,0.588675,0.002212,0.799777,0.001438,0.079674,0.000436,69.287029,9.584005
5,RobustScaler + RUS/SMOTE,500,0.916752,0.003253,0.946302,0.000769,0.916752,0.003253,0.923947,0.002601,0.591446,0.021811,0.931603,0.004902,0.639217,0.021046,0.903069,0.003331,0.976081,0.001306,0.002515,0.000000,0.469552,0.016101
,,1000,0.935754,0.002259,0.955619,0.002019,0.935754,0.002259,0.941047,0.002304,0.621133,0.011083,0.937094,0.007674,0.670651,0.009895,0.924314,0.002584,0.981361,0.000641,0.004152,0.000000,0.500526,0.003492
,,2000,0.947007,0.001129,0.962562,0.001318,0.947007,0.001129,0.951366,0.001251,0.642483,0.010384,0.941518,0.005264,0.692012,0.009585,0.937233,0.001341,0.984535,0.000334,0.008266,0.000000,0.497014,0.000410
,,5000,0.956879,0.000876,0.968555,0.000152,0.956879,0.000876,0.960318,0.000538,0.667914,0.007493,0.946141,0.004803,0.718902,0.007165,0.948615,0.000997,0.987090,0.000277,0.025210,0.000022,0.534675,0.000162
,,10000,0.962798,0.000860,0.972216,0.000265,0.962798,0.000860,0.965628,0.000612,0.692595,0.014653,0.945689,0.005560,0.742775,0.012733,0.955506,0.001002,0.988891,0.000278,0.057909,0.000233,0.676322,0.020092
,,20000,0.967582,0.000621,0.975165,0.000306,0.967582,0.000621,0.969837,0.000509,0.730952,0.004521,0.946648,0.005617,0.775975,0.002645,0.961134,0.000717,0.990158,0.000262,0.120478,0.000577,0.859240,0.024406
,,30000,0.970237,0.000606,0.976802,0.000258,0.970237,0.000606,0.972200,0.000451,0.746337,0.006567,0.946040,0.006599,0.788136,0.003396,0.964254,0.000715,0.990841,0.000210,0.162396,0.000086,0.738489,0.006111
,,40000,0.971844,0.000382,0.977803,0.000187,0.971844,0.000382,0.973630,0.000294,0.756066,0.007552,0.944665,0.006369,0.794641,0.003718,0.966147,0.000449,0.991284,0.000114,0.269929,0.003141,0.813397,0.026928
6,RobustScaler + RUS/SMOTE/ENN,500,0.913484,0.004001,0.937586,0.001423,0.913484,0.004001,0.921420,0.002601,0.604336,0.029186,0.919859,0.006369,0.644292,0.026642,0.897335,0.004639,0.973142,0.002286,0.002910,0.000000,0.440779,0.000571
,,1000,0.933450,0.003492,0.947362,0.003271,0.933450,0.003492,0.938288,0.003279,0.631940,0.015326,0.925625,0.009884,0.675467,0.011644,0.920148,0.004176,0.979210,0.001388,0.005180,0.000002,0.507151,0.016153
,,2000,0.945897,0.001554,0.956630,0.001918,0.945897,0.001554,0.949682,0.001594,0.648531,0.005650,0.933945,0.007016,0.696219,0.004833,0.934913,0.001946,0.983766,0.000415,0.010803,0.000005,0.595156,0.021169
,,5000,0.956516,0.000518,0.964568,0.000533,0.956516,0.000518,0.959384,0.000305,0.670454,0.006600,0.939083,0.005313,0.722875,0.007682,0.947525,0.000622,0.986608,0.000330,0.030652,0.000040,0.539877,0.004712
,,10000,0.962124,0.000868,0.968536,0.000564,0.962124,0.000868,0.964468,0.000636,0.689796,0.010728,0.942839,0.006601,0.742838,0.011189,0.954163,0.001050,0.988475,0.000325,0.067807,0.000053,0.634904,0.025726
,,20000,0.966646,0.000935,0.972021,0.000336,0.966646,0.000935,0.968571,0.000662,0.718480,0.003681,0.945788,0.004855,0.770338,0.002793,0.959604,0.001112,0.989832,0.000301,0.123378,0.000846,0.682643,0.035279
,,30000,0.969116,0.000693,0.973890,0.000359,0.969116,0.000693,0.970830,0.000522,0.738311,0.007944,0.945412,0.006524,0.785742,0.004764,0.962561,0.000833,0.990487,0.000277,0.208533,0.002345,0.797475,0.018712
,,40000,0.970742,0.000624,0.975130,0.000392,0.970742,0.000624,0.972306,0.000501,0.748936,0.014459,0.944104,0.005543,0.792926,0.007858,0.964518,0.000754,0.990971,0.000179,0.329088,0.004359,1.059743,0.189111
7,RobustScaler + NearMiss/SMOTE,500,0.287007,0.000298,0.747713,0.021774,0.287007,0.000298,0.319741,0.006672,0.371524,0.003893,0.528748,0.003045,0.229800,0.002177,0.264870,0.005841,0.635821,0.002703,0.002508,0.000000,0.492720,0.000079
,,1000,0.374577,0.009033,0.832146,0.022563,0.374577,0.009033,0.410594,0.007493,0.498126,0.006223,0.593918,0.011356,0.359557,0.004782,0.358820,0.006403,0.683435,0.002356,0.003966,0.000000,0.587568,0.001768
,,2000,0.393889,0.013210,0.868415,0.005516,0.393889,0.013210,0.440803,0.011657,0.520785,0.003729,0.620870,0.005279,0.382895,0.008426,0.381237,0.013261,0.701688,0.002513,0.007259,0.000001,0.696833,0.001251
,,5000,0.399764,0.019725,0.706235,0.020915,0.399764,0.019725,0.466475,0.019603,0.517429,0.008273,0.687768,0.011282,0.430616,0.010795,0.384457,0.021523,0.711287,0.013679,0.019999,0.000000,0.831172,0.007916
,,10000,0.408322,0.003546,0.706817,0.003746,0.408322,0.003546,0.478946,0.004373,0.530751,0.006255,0.691484,0.003879,0.439987,0.005314,0.375408,0.004116,0.689396,0.002059,0.042237,0.000001,0.958278,0.002085
,,20000,0.434317,0.002354,0.712236,0.002219,0.434317,0.002354,0.497431,0.002776,0.529662,0.006133,0.719038,0.004577,0.453318,0.006183,0.395367,0.002361,0.697336,0.001246,0.095220,0.000033,1.018727,0.001407
,,30000,0.463084,0.001107,0.736333,0.001409,0.463084,0.001107,0.525935,0.001312,0.536646,0.007225,0.742554,0.008670,0.468397,0.007874,0.426746,0.000991,0.713460,0.000942,0.142561,0.000024,1.265855,0.027753
,,40000,0.496853,0.000820,0.759533,0.000986,0.496853,0.000820,0.561641,0.000981,0.545621,0.007173,0.765914,0.008537,0.491812,0.007756,0.463337,0.000777,0.732639,0.000657,0.252423,0.002125,1.381444,0.014694
8,RobustScaler + NearMiss/SMOTE/ENN,500,0.287027,0.000309,0.744097,0.018066,0.287027,0.000309,0.318882,0.005509,0.369576,0.003688,0.533679,0.006261,0.229912,0.001536,0.264543,0.005400,0.634539,0.001803,0.002508,0.000000,0.486735,0.001096
,,1000,0.380885,0.002720,0.821695,0.020637,0.380885,0.002720,0.415002,0.008067,0.485494,0.004502,0.600836,0.006135,0.357353,0.003366,0.364225,0.006863,0.683397,0.002661,0.003892,0.000000,0.536977,0.000198
,,2000,0.411751,0.003036,0.856856,0.022593,0.411751,0.003036,0.453515,0.007699,0.509238,0.006573,0.635142,0.006646,0.387295,0.003881,0.397605,0.006742,0.703179,0.001407,0.007026,0.000000,0.677471,0.000296
,,5000,0.413428,0.026656,0.704158,0.017053,0.413428,0.026656,0.477773,0.024462,0.508918,0.008983,0.697610,0.012820,0.432966,0.013115,0.396972,0.028153,0.705349,0.009942,0.020978,0.000009,0.851491,0.002315
,,10000,0.410028,0.003515,0.705710,0.003392,0.410028,0.003515,0.480687,0.004424,0.523032,0.008393,0.693780,0.002692,0.435763,0.006528,0.373635,0.005339,0.688395,0.001265,0.044300,0.000035,0.919679,0.002795
,,20000,0.434750,0.002331,0.714819,0.002464,0.434750,0.002331,0.498443,0.002857,0.522587,0.008673,0.721930,0.005532,0.446430,0.006541,0.395341,0.002616,0.697546,0.001241,0.101448,0.000666,1.052341,0.001446
,,30000,0.463473,0.001368,0.738865,0.001709,0.463473,0.001368,0.526903,0.001596,0.528354,0.008354,0.745061,0.006965,0.459788,0.005969,0.426638,0.001363,0.713656,0.001041,0.150571,0.000819,1.112675,0.002752
,,40000,0.497184,0.000947,0.761541,0.000975,0.497184,0.000947,0.562562,0.001105,0.538016,0.008227,0.768403,0.006666,0.485002,0.006393,0.463379,0.000978,0.732697,0.000698,0.199790,0.000015,1.076303,0.007006
