NÚMERO EXPERIMENTO,DESCRIPCIÓN EXPERIMENTO,MODELO,ESCALADOR,REBALANCEO,PCA,μ ACCURACY,σ ACCURACY,μ PRECISION WEIGHTED,σ PRECISION WEIGHTED,μ RECALL WEIGHTED,σ RECALL WEIGHTED,μ F1 WEIGHTED,σ F1 WEIGHTED,μ PRECISION MACRO,σ PRECISION MACRO,μ RECALL MACRO,σ RECALL MACRO,μ F1 MACRO,σ F1 MACRO,μ FPR WEIGHTED,σ FPR WEIGHTED,μ FNR WEIGHTED,σ FNR WEIGHTED,μ FPR MACRO,σ FPR MACRO,μ FNR MACRO,σ FNR MACRO,μ MCC,σ MCC,μ AUC-ROC,σ AUC-ROC,μ DETECTION LATENCY (S),σ DETECTION LATENCY (S),μ FIT TIME,σ² FIT TIME,μ SCORE TIME,σ² SCORE TIME
11,StandardScaler + NearMiss/SMOTE + PCA + KNN,knn,StandardScaler,NearMiss_SMOTE,PCA,0.416203,0.002486,0.864821,0.021334,0.416203,0.002486,0.492612,0.004544,0.529523,0.015278,0.704794,0.011485,0.422057,0.005047,0.014067,0.001443,0.583797,0.002486,0.039858,0.000248,0.295206,0.011485,0.404004,0.003460,0.706747,0.001000,0.000046,0.000003,0.016344,0.000030,12.443351,0.553191
12,StandardScaler + NearMiss/SMOTE + PCA + MLP,mlp,StandardScaler,NearMiss_SMOTE,PCA,0.483576,0.034497,0.866369,0.021323,0.483576,0.034497,0.543735,0.034483,0.469566,0.013439,0.750486,0.031479,0.393216,0.027775,0.015094,0.003481,0.516424,0.034497,0.035434,0.002446,0.249514,0.031479,0.464746,0.036054,0.781888,0.011439,0.000000,0.000000,51.263606,358.874343,0.112898,0.000063
13,StandardScaler + NearMiss/SMOTE/ENN + PCA + Logistic Regression,logreg,StandardScaler,NearMiss_SMOTE_ENN,PCA,0.470582,0.005326,0.852350,0.010111,0.470582,0.005326,0.529589,0.005727,0.456501,0.014558,0.742905,0.012395,0.379539,0.012835,0.013026,0.000727,0.529418,0.005326,0.036163,0.000386,0.257095,0.012395,0.457561,0.006114,0.782270,0.006213,0.000000,0.000000,18.928627,19.316995,0.026757,0.000002
14,StandardScaler + NearMiss/SMOTE/ENN + PCA + KNN,knn,StandardScaler,NearMiss_SMOTE_ENN,PCA,0.419599,0.002290,0.860133,0.024635,0.419599,0.002290,0.496519,0.003030,0.529157,0.016290,0.705915,0.010742,0.424882,0.004092,0.014451,0.001809,0.580401,0.002290,0.039657,0.000177,0.294085,0.010742,0.406964,0.002437,0.708094,0.001462,0.000049,0.000014,0.015789,0.000009,13.138074,13.217510
15,StandardScaler + NearMiss/SMOTE/ENN + PCA + MLP,mlp,StandardScaler,NearMiss_SMOTE_ENN,PCA,0.496240,0.038534,0.874358,0.015957,0.496240,0.038534,0.560050,0.037646,0.475856,0.024153,0.749842,0.028525,0.406886,0.032009,0.013549,0.003139,0.503760,0.038534,0.034487,0.002770,0.250158,0.028525,0.478500,0.040468,0.799788,0.029763,0.000000,0.000000,28.999930,714.337145,0.108235,0.000016
16,RobustScaler + Sin rebalanceo + PCA + Logistic Regression,logreg,RobustScaler,NONE,PCA,0.327136,0.000190,0.192073,0.000578,0.327136,0.000190,0.209797,0.000243,0.076388,0.001608,0.086479,0.000152,0.060617,0.000267,0.240996,0.000133,0.672864,0.000190,0.060924,0.000020,0.913521,0.000152,0.114758,0.000333,0.717663,0.000317,0.000000,0.000000,229.176932,134.061582,0.015703,0.000005
17,RobustScaler + Sin rebalanceo + PCA + KNN,knn,RobustScaler,NONE,PCA,0.982302,0.000195,0.982700,0.000204,0.982302,0.000195,0.982375,0.000189,0.929698,0.023929,0.916502,0.003441,0.914755,0.002781,0.003075,0.000090,0.017698,0.000195,0.001385,0.000017,0.083498,0.003441,0.978397,0.000240,0.995712,0.000077,0.000006,0.000001,0.837074,0.005984,1.614004,0.033807
18,RobustScaler + Sin rebalanceo + PCA + MLP,mlp,RobustScaler,NONE,PCA,0.390221,0.007643,0.397943,0.049095,0.390221,0.007643,0.258842,0.008068,0.201367,0.045589,0.178364,0.024952,0.127260,0.020345,0.192474,0.001910,0.609779,0.007643,0.053484,0.000629,0.821636,0.024952,0.280991,0.015147,0.612318,0.035082,0.000000,0.000000,73.881973,58.706904,0.115229,0.000014
19,RobustScaler + RUS/SMOTE + PCA + Logistic Regression,logreg,RobustScaler,RUS_SMOTE,PCA,0.088363,0.060423,0.285884,0.013664,0.088363,0.060423,0.061391,0.023930,0.113413,0.009952,0.193916,0.002506,0.052739,0.017223,0.037710,0.044891,0.911637,0.060423,0.063290,0.002125,0.806084,0.002506,0.076208,0.050959,0.712325,0.000399,0.000000,0.000000,30.740311,2.573234,0.015372,0.000002
20,RobustScaler + RUS/SMOTE + PCA + KNN,knn,RobustScaler,RUS_SMOTE,PCA,0.962798,0.000860,0.972216,0.000265,0.962798,0.000860,0.965628,0.000612,0.692595,0.014653,0.945689,0.005560,0.742775,0.012733,0.003249,0.000076,0.037202,0.000860,0.002697,0.000060,0.054311,0.005560,0.955506,0.001002,0.988891,0.000278,0.000003,0.000000,0.068273,0.000033,0.697863,0.001481
21,RobustScaler + RUS/SMOTE + PCA + MLP,mlp,RobustScaler,RUS_SMOTE,PCA,0.074043,0.035896,0.344760,0.019281,0.074043,0.035896,0.066809,0.021314,0.192228,0.024744,0.219341,0.003583,0.091660,0.017212,0.020341,0.021206,0.925957,0.035896,0.063087,0.002024,0.780659,0.003583,0.082674,0.049152,0.625205,0.037447,0.000000,0.000000,8.320899,2.353900,0.114572,0.000013
22,RobustScaler + RUS/SMOTE/ENN + PCA + Logistic Regression,logreg,RobustScaler,RUS_SMOTE_ENN,PCA,0.024223,0.000586,0.265303,0.000854,0.024223,0.000586,0.039555,0.000965,0.098268,0.001116,0.193866,0.002392,0.037532,0.000786,0.001176,0.000036,0.975777,0.000586,0.065130,0.000037,0.806134,0.002392,0.032217,0.000739,0.712524,0.000281,0.000000,0.000000,40.852598,52.306450,0.016356,0.000003
23,RobustScaler + RUS/SMOTE/ENN + PCA + KNN,knn,RobustScaler,RUS_SMOTE_ENN,PCA,0.962124,0.000868,0.968536,0.000564,0.962124,0.000868,0.964468,0.000636,0.689796,0.010728,0.942839,0.006601,0.742838,0.011189,0.005070,0.000189,0.037876,0.000868,0.002863,0.000067,0.057161,0.006601,0.954163,0.001050,0.988475,0.000325,0.000003,0.000001,0.066834,0.000204,0.779080,0.026577
24,RobustScaler + RUS/SMOTE/ENN + PCA + MLP,mlp,RobustScaler,RUS_SMOTE_ENN,PCA,0.097126,0.057971,0.345184,0.030643,0.097126,0.057971,0.090010,0.033628,0.186892,0.027636,0.221895,0.002856,0.106152,0.027238,0.022260,0.036470,0.902874,0.057971,0.061676,0.002771,0.778105,0.002856,0.115011,0.066172,0.602998,0.017382,0.000000,0.000000,11.053100,28.669424,0.110605,0.000008
25,RobustScaler + NearMiss/SMOTE + PCA + Logistic Regression,logreg,RobustScaler,NearMiss_SMOTE,PCA,0.112031,0.068317,0.038990,0.014606,0.112031,0.068317,0.049343,0.028255,0.036025,0.011277,0.181967,0.008170,0.048640,0.021781,0.042153,0.034425,0.887969,0.068317,0.062008,0.002578,0.818033,0.008170,0.113145,0.062273,0.642074,0.003371,0.000000,0.000000,32.511228,6.263111,0.015485,0.000001
26,RobustScaler + NearMiss/SMOTE + PCA + KNN,knn,RobustScaler,NearMiss_SMOTE,PCA,0.408322,0.003546,0.706817,0.003746,0.408322,0.003546,0.478946,0.004373,0.530751,0.006255,0.691484,0.003879,0.439987,0.005314,0.037300,0.002931,0.591678,0.003546,0.041932,0.000270,0.308516,0.003879,0.375408,0.004116,0.689396,0.002059,0.000004,0.000001,0.057092,0.000215,1.085580,0.078397
27,RobustScaler + NearMiss/SMOTE + PCA + MLP,mlp,RobustScaler,NearMiss_SMOTE,PCA,0.037231,0.038062,0.316318,0.022582,0.037231,0.038062,0.014249,0.024166,0.125081,0.026046,0.193055,0.007644,0.030501,0.019761,0.014790,0.016862,0.962769,0.038062,0.065171,0.002260,0.806945,0.007644,0.036805,0.054483,0.584293,0.022587,0.000000,0.000000,6.035301,4.111784,0.110341,0.000003
28,RobustScaler + NearMiss/SMOTE/ENN + PCA + Logistic Regression,logreg,RobustScaler,NearMiss_SMOTE_ENN,PCA,0.093979,0.111938,0.259741,0.088659,0.093979,0.111938,0.051905,0.061325,0.086458,0.026092,0.174578,0.011492,0.039182,0.027612,0.051319,0.091055,0.906021,0.111938,0.063823,0.002411,0.825422,0.011492,0.069004,0.058285,0.626754,0.027108,0.000000,0.000000,35.210310,5.965811,0.016726,0.000003
29,RobustScaler + NearMiss/SMOTE/ENN + PCA + KNN,knn,RobustScaler,NearMiss_SMOTE_ENN,PCA,0.410028,0.003515,0.705710,0.003392,0.410028,0.003515,0.480687,0.004424,0.523032,0.008393,0.693780,0.002692,0.435763,0.006528,0.040490,0.003763,0.589972,0.003515,0.042031,0.000379,0.306220,0.002692,0.373635,0.005339,0.688395,0.001265,0.000004,0.000000,0.042104,0.000001,0.944898,0.006593
30,RobustScaler + NearMiss/SMOTE/ENN + PCA + MLP,mlp,RobustScaler,NearMiss_SMOTE_ENN,PCA,0.096536,0.052731,0.311584,0.017384,0.096536,0.052731,0.046907,0.026128,0.120366,0.024513,0.190942,0.008143,0.056131,0.022297,0.028407,0.020892,0.903464,0.052731,0.062125,0.002594,0.809058,0.008143,0.110486,0.062877,0.572840,0.019769,0.000000,0.000000,4.858116,0.704991,0.111617,0.000047
