,NUEVA CLASE,ORIGINAL (BCCC17),LIMPIADO,80% (train),,,,,,,,,,,,,,,,,,,,
NÚMERO EXPERIMENTO,DESCRIPCIÓN EXPERIMENTO,N,μ ACCURACY, σ ACCURACY,μ PRECISION WEIGHTED,σ PRECISION WEIGHTED,μ RECALL WEIGHTED,σ RECALL WEIGHTED,μ F1 WEIGHTED, σ F1 WEIGHTED,μ PRECISION MACRO,σ PRECISION MACRO,μ RECALL MACRO,σ RECALL MACRO,μ F1 MACRO,σ F1 MACRO,μ MCC,σ MCC,μ AUC-ROC,σ AUC-ROC,μ FIT TIME,σ FIT TIME,μ SCORE TIME,σ SCORE TIME
,,1000,0.706285,0.018469,0.855987,0.017628,0.706285,0.018469,0.749074,0.020380,0.357358,0.015608,0.684795,0.028677,0.399563,0.015186,0.643170,0.018696,0.897206,0.008122,0.016785,0.000000,0.244738,0.000009
,,2000,0.725264,0.015085,0.866922,0.005295,0.725264,0.015085,0.767862,0.010326,0.365951,0.005943,0.676413,0.028488,0.409806,0.007871,0.663962,0.015629,0.904559,0.006410,0.030587,0.000001,0.285252,0.000010
,,5000,0.724802,0.051970,0.859161,0.053003,0.724802,0.051970,0.766624,0.052018,0.369348,0.013238,0.675233,0.021863,0.413164,0.015568,0.659189,0.068769,0.899588,0.011757,0.080012,0.000002,0.383959,0.000034
,,10000,0.676958,0.041746,0.800538,0.050758,0.676958,0.041746,0.715481,0.044480,0.354873,0.010645,0.651482,0.027254,0.396416,0.012025,0.590025,0.057617,0.853717,0.038141,0.164085,0.000020,0.541138,0.000035
,,20000,0.684995,0.055557,0.804934,0.053773,0.684995,0.055557,0.722733,0.056166,0.357239,0.010439,0.635582,0.024981,0.398315,0.013435,0.597984,0.074164,0.859571,0.046686,0.330068,0.000009,0.868432,0.000102
,,30000,0.685652,0.033188,0.808237,0.044345,0.685652,0.033188,0.725328,0.036570,0.351723,0.006735,0.602485,0.011654,0.389127,0.008009,0.598780,0.048002,0.872711,0.041484,0.487000,0.000014,1.093708,0.001305
,,40000,0.660434,0.030216,0.778233,0.019787,0.660434,0.030216,0.696927,0.029164,0.347513,0.009847,0.592195,0.016866,0.381820,0.013174,0.563415,0.034429,0.822876,0.014054,0.643366,0.000164,1.481097,0.000320
7,RobustScaler + NearMiss/SMOTE,500,0.121513,0.010643,0.433407,0.110603,0.121513,0.010643,0.159863,0.028390,0.173572,0.023644,0.305691,0.020117,0.138532,0.011827,0.047346,0.019571,0.540536,0.030066,0.009452,0.000000,0.197759,0.000015
,,1000,0.117317,0.011956,0.498441,0.013780,0.117317,0.011956,0.160409,0.020207,0.198595,0.010142,0.409139,0.028713,0.150747,0.011074,0.057102,0.004576,0.541186,0.005348,0.014793,0.000000,0.207673,0.000030
,,2000,0.305345,0.006957,0.583724,0.012160,0.305345,0.006957,0.308186,0.008641,0.253876,0.005512,0.572158,0.027233,0.239568,0.002985,0.255079,0.004412,0.647435,0.003537,0.027313,0.000000,0.216098,0.000003
,,5000,0.286241,0.004718,0.700731,0.010637,0.286241,0.004718,0.333551,0.008467,0.252891,0.004184,0.664622,0.022708,0.216555,0.003726,0.252258,0.003506,0.657785,0.005531,0.078100,0.000001,0.220340,0.000004
,,10000,0.290166,0.006319,0.692504,0.007967,0.290166,0.006319,0.343103,0.009406,0.253881,0.000488,0.648427,0.022328,0.221365,0.002336,0.252136,0.007097,0.664730,0.007238,0.166185,0.000001,0.228590,0.000019
,,20000,0.294478,0.009584,0.696861,0.012364,0.294478,0.009584,0.349598,0.009229,0.255730,0.004772,0.665403,0.021813,0.223815,0.008207,0.256203,0.012169,0.666170,0.006341,0.325423,0.000005,0.239078,0.000021
,,30000,0.303921,0.020450,0.708446,0.020981,0.303921,0.020450,0.363172,0.022722,0.259654,0.007477,0.646633,0.016441,0.227825,0.011389,0.264197,0.021323,0.673885,0.016006,0.487345,0.000012,0.255880,0.000015
,,40000,0.324835,0.006423,0.701150,0.021290,0.324835,0.006423,0.382864,0.011883,0.264056,0.003241,0.662484,0.021142,0.241273,0.004662,0.281221,0.009392,0.679458,0.007741,0.652840,0.000040,0.246699,0.000014
8,RobustScaler + NearMiss/SMOTE/ENN,500,0.115701,0.010487,0.446945,0.079888,0.115701,0.010487,0.153784,0.020272,0.177383,0.025104,0.315499,0.022335,0.136356,0.009135,0.043501,0.011086,0.537486,0.016113,0.009027,0.000000,0.193183,0.000025
,,1000,0.136957,0.012894,0.515982,0.025634,0.136957,0.012894,0.184158,0.020305,0.216656,0.017068,0.401108,0.043276,0.166881,0.015396,0.071824,0.008900,0.546693,0.005822,0.014370,0.000001,0.200690,0.000003
,,2000,0.310471,0.004257,0.588117,0.005585,0.310471,0.004257,0.314914,0.009750,0.261272,0.010627,0.547326,0.037516,0.249060,0.009959,0.259983,0.002526,0.646930,0.003861,0.026153,0.000001,0.212040,0.000002
,,5000,0.285734,0.011727,0.672835,0.043187,0.285734,0.011727,0.323670,0.020358,0.243826,0.017808,0.615098,0.048725,0.213032,0.021182,0.254130,0.003928,0.651869,0.008667,0.072683,0.000005,0.247151,0.002277
,,10000,0.288266,0.005082,0.693126,0.007248,0.288266,0.005082,0.340914,0.012673,0.256150,0.013765,0.637900,0.025184,0.222207,0.014932,0.255140,0.008893,0.657855,0.007021,0.155615,0.000003,0.256689,0.005183
,,20000,0.291400,0.008705,0.701579,0.004838,0.291400,0.008705,0.350955,0.009673,0.266324,0.004873,0.628631,0.033124,0.233802,0.006836,0.256710,0.009441,0.667178,0.004652,0.310062,0.000032,0.234730,0.000019
,,30000,0.304659,0.009723,0.714455,0.009275,0.304659,0.009723,0.365628,0.011220,0.269442,0.004130,0.620774,0.032081,0.237633,0.004617,0.269388,0.009242,0.674936,0.008243,0.460534,0.000029,0.254969,0.000012
,,40000,0.333666,0.019406,0.710194,0.018702,0.333666,0.019406,0.391215,0.015690,0.271704,0.005745,0.633253,0.040459,0.249966,0.009020,0.292915,0.015060,0.686163,0.010056,0.615246,0.000031,0.245084,0.000016
